lon,lat,date,month,sst_c,presence
-27.85135447985013,-21.22304563157207,2019-08-15,8.0,23.42041,0
-46.035675820485366,20.996631556019636,2019-08-15,8.0,27.635834,0
-39.621786604838015,-21.804255801542432,2019-07-15,7.0,24.937225,0
-40.088833041387424,17.63737401015922,2019-12-15,12.0,25.858063,0
-48.42587374089128,11.087782768395584,2019-02-15,2.0,25.959625,0
-22.58079231827876,2.9193043538594807,2019-11-15,11.0,28.320374,0
-56.140739336169226,21.295861582458265,2019-04-15,4.0,25.54245,0
-18.845287590723906,-27.77360723326304,2019-07-15,7.0,20.473969,0
-28.22004454446457,-19.631354745062993,2019-10-15,10.0,24.31372,0
-30.751910683293683,-5.561076355714679,2019-08-15,8.0,26.488556,0
-26.059843251900382,-4.533098208510918,2019-10-15,10.0,26.21231,0
-46.09118859322221,25.84545031599773,2019-01-15,1.0,23.303802,0
-22.821468681457617,-7.974559024971555,2019-01-15,1.0,27.368835,0
-52.262578204494474,23.610497687181805,2019-02-15,2.0,24.437805,0
-47.35248242246652,4.693834876648545,2019-11-15,11.0,28.511414,0
-18.57293640477031,-3.4694284837339318,2019-10-15,10.0,25.803192,0
-35.48562114876668,13.46458585267893,2019-03-15,3.0,24.020782,0
-40.368547667871525,-25.525396488281572,2019-04-15,4.0,26.45401,0
-44.144028657069896,4.09645912536913,2019-06-15,6.0,28.056732,0
-51.54793835344421,25.778189420128058,2019-11-15,11.0,26.359253,0
-16.637772227382413,-9.670083860874513,2019-08-15,8.0,24.887543,0
-32.56257271392226,18.939124744224458,2019-12-15,12.0,24.424377,0
-28.63611699432719,-24.45217207669735,2019-02-15,2.0,28.47284,0
-28.37756449757216,-2.5607383089558233,2019-03-15,3.0,29.54361,0
-31.73755973286357,-10.22375587020434,2019-04-15,4.0,29.20996,0
-23.33244642644476,25.89041567632855,2019-06-15,6.0,22.766571,0
-32.238632854461926,-24.38994333037799,2019-01-15,1.0,27.799286,0
-20.40160465659067,-4.8791926316149485,2019-11-15,11.0,26.445251,0
-23.436985818088907,8.52908252661831,2019-01-15,1.0,26.750153,0
